title,price,release,link
"Warhammer 40,000: Sanctus Reach - Horrors of the Warp",₪55.95,"24 May, 2018",https://store.steampowered.com/app/841150/Warhammer_40000_Sanctus_Reach__Horrors_of_the_Warp/?snr=1_7_7_151_150_5
Fantasy Toonz: Embers of Creation,none,End of Q3 2023,https://store.steampowered.com/app/1699140/Fantasy_Toonz_Embers_of_Creation/?snr=1_7_7_151_150_5
Knight of the Forgotten Realm,none,When it's ready.,https://store.steampowered.com/app/1840410/Knight_of_the_Forgotten_Realm/?snr=1_7_7_151_150_5
A Short Tale of Solitude,none,Coming soon,https://store.steampowered.com/app/1387210/A_Short_Tale_of_Solitude/?snr=1_7_7_151_150_5
Of Gods and Men: The Daybreak Empire,Free to Play,"9 Nov, 2018",https://store.steampowered.com/app/936610/Of_Gods_and_Men_The_Daybreak_Empire/?snr=1_7_7_151_150_5
Legend of Rome - The Wrath of Mars,₪36.95,"5 May, 2022",https://store.steampowered.com/app/1968760/Legend_of_Rome__The_Wrath_of_Mars/?snr=1_7_7_151_150_6
Reverie Knights Tactics + Ash of Gods: Redemption Complete Your Set,₪167.30,none,https://store.steampowered.com/bundle/24553/Reverie_Knights_Tactics__Ash_of_Gods_Redemption_Complete_Your_Set/?snr=1_7_7_151_150_6
Heroes of Myths - Warriors of Gods,₪7.25,"7 Dec, 2017",https://store.steampowered.com/app/680100/Heroes_of_Myths__Warriors_of_Gods/?snr=1_7_7_151_150_6
Guarding Goddess,Free To Play,"10 Nov, 2022",https://store.steampowered.com/app/1909860/Guarding_Goddess/?snr=1_7_7_151_150_6
Rise of Crustaceans,none,"28 May, 2018",https://store.steampowered.com/app/854310/Rise_of_Crustaceans/?snr=1_7_7_151_150_6
SUPER ROBOT WARS 30 - Expansion Pack,₪99.00,"12 Apr, 2022",https://store.steampowered.com/app/1823802/SUPER_ROBOT_WARS_30__Expansion_Pack/?snr=1_7_7_151_150_6
她3 : 复乐园之曦 Her3 : The Light of Paradise Regained,₪18.50,"24 Apr, 2020",https://store.steampowered.com/app/1099140/3___Her3__The_Light_of_Paradise_Regained/?snr=1_7_7_151_150_6
Empires of the Undergrowth Demo,Free Demo,"7 May, 2019",https://store.steampowered.com/app/463530/Empires_of_the_Undergrowth/?snr=1_7_7_151_150_6
"Warhammer 40,000: Gladius - Chaos Space Marines",₪55.95,"18 Jul, 2019",https://store.steampowered.com/app/1084820/Warhammer_40000_Gladius__Chaos_Space_Marines/?snr=1_7_7_151_150_6
Heroes of Civilizations,Free To Play,"11 Aug, 2017",https://store.steampowered.com/app/676490/Heroes_of_Civilizations/?snr=1_7_7_151_150_6
The Trials of Olympus II: Wrath of the Gods,₪25.95,"28 Jan, 2019",https://store.steampowered.com/app/1008610/The_Trials_of_Olympus_II_Wrath_of_the_Gods/?snr=1_7_7_151_150_6
"Warhammer 40,000: Gladius - Craftworld Aeldari",₪55.95,"12 Nov, 2020",https://store.steampowered.com/app/1425820/Warhammer_40000_Gladius__Craftworld_Aeldari/?snr=1_7_7_151_150_6
Defenders of Time,none,"4 Nov, 2014",https://store.steampowered.com/app/317330/Defenders_of_Time/?snr=1_7_7_151_150_6
Tree of Mu,₪36.95,"1 Dec, 2022",https://store.steampowered.com/app/1680620/Tree_of_Mu/?snr=1_7_7_151_150_6
Cradle of Souls,₪25.95,"18 Feb, 2022",https://store.steampowered.com/app/1797440/Cradle_of_Souls/?snr=1_7_7_151_150_6
Sker Ritual,₪55.95,"6 Oct, 2022",https://store.steampowered.com/app/1492070/Sker_Ritual/?snr=1_7_7_151_150_6
Beard of Stone Demo,Free Demo,"19 Sep, 2021",https://store.steampowered.com/app/989380/Beard_of_Stone/?snr=1_7_7_151_150_6
Champions of Odin,₪55.95,"25 Aug, 2017",https://store.steampowered.com/app/479200/Champions_of_Odin/?snr=1_7_7_151_150_6
Tales of the Underworld - Legends of Primordial Sea,₪55.95,"3 Jan, 2022",https://store.steampowered.com/app/1840570/Tales_of_the_Underworld__Legends_of_Primordial_Sea/?snr=1_7_7_151_150_6
Tales of Mahabharata,₪18.50,"14 Aug, 2018",https://store.steampowered.com/app/867920/Tales_of_Mahabharata/?snr=1_7_7_151_150_6
Chronicle of Forgotten Times: Pawn of the Gods,₪36.95,"2 Jun, 2022",https://store.steampowered.com/app/1983780/Chronicle_of_Forgotten_Times_Pawn_of_the_Gods/?snr=1_7_7_151_150_6
Gates of Hell,₪3.50,"5 Nov, 2019",https://store.steampowered.com/app/1136420/Gates_of_Hell/?snr=1_7_7_151_150_6
Fables of Talumos,₪25.95,"1 Sep, 2019",https://store.steampowered.com/app/1085570/Fables_of_Talumos/?snr=1_7_7_151_150_6
TITANS: Dawn of Tribes,none,"15 Jun, 2017",https://store.steampowered.com/app/467570/TITANS_Dawn_of_Tribes/?snr=1_7_7_151_150_6
Nocturne of Steel,₪3.50,"27 Sep, 2018",https://store.steampowered.com/app/883810/Nocturne_of_Steel/?snr=1_7_7_151_150_6
Shadows of Forbidden Gods Demo,Free Demo,"13 Sep, 2021",https://store.steampowered.com/app/1741640/Shadows_of_Forbidden_Gods/?snr=1_7_7_151_150_7
Blood Rage: Digital Edition - Mystics of Midgard,₪18.50,"17 Sep, 2020",https://store.steampowered.com/app/1354120/Blood_Rage_Digital_Edition__Mystics_of_Midgard/?snr=1_7_7_151_150_7
The Fermi Paradox,₪69.95,"1 Jul, 2021",https://store.steampowered.com/app/1543150/The_Fermi_Paradox/?snr=1_7_7_151_150_7
Gods of Havoc: Into the Void,₪29.50,"8 Aug, 2019",https://store.steampowered.com/app/1117340/Gods_of_Havoc_Into_the_Void/?snr=1_7_7_151_150_7
Gods of Havoc: Fall to Earth,₪29.50,"22 Aug, 2019",https://store.steampowered.com/app/1120770/Gods_of_Havoc_Fall_to_Earth/?snr=1_7_7_151_150_7
Great Battles of Carolus XII,₪21.95,"16 May, 2021",https://store.steampowered.com/app/1548280/Great_Battles_of_Carolus_XII/?snr=1_7_7_151_150_7
Shrine of the Spirits,Free to Play,"2 Dec, 2022",https://store.steampowered.com/app/1956710/Shrine_of_the_Spirits/?snr=1_7_7_151_150_7
Tale of Legends -伝創記-,₪36.95,"10 Oct, 2018",https://store.steampowered.com/app/936870/Tale_of_Legends/?snr=1_7_7_151_150_7
Choice of the Viking Demo,Free Demo,"19 Sep, 2022",https://store.steampowered.com/app/1975530/Choice_of_the_Viking/?snr=1_7_7_151_150_7
Chronicle of Forgotten Times: Pawn of the Gods Demo,Free Demo,"26 May, 2022",https://store.steampowered.com/app/1983780/Chronicle_of_Forgotten_Times_Pawn_of_the_Gods/?snr=1_7_7_151_150_7
Army of Tentacles: Ultimate H.P. LOLcraft Deluxe Platinum Non-Award Winning Pack,₪197.27,none,https://store.steampowered.com/bundle/1903/Army_of_Tentacles_Ultimate_HP_LOLcraft_Deluxe_Platinum_NonAward_Winning_Pack/?snr=1_7_7_151_150_7
The Eyes Of Mars Demo,Free Demo,"14 Dec, 2022",https://store.steampowered.com/app/2247540/The_Eyes_Of_Mars/?snr=1_7_7_151_150_7
